SpatialDimValueCode,HealthAvailVal_nurse,HealthAvailVal_psych,Period,FactValueNumeric_alcohol,suicide_rate,HDI,Health_Expenditure,HomicideRate,cluster
KEN,0.2912792593726497,0.0036849665854724,2009,0.1055045871559633,0.1599841730414139,0.4079885877318118,0.2105263157894736,0.0566632756866734,0
KEN,0.2670531310939694,0.0036849665854724,2008,0.1037844036697247,0.1684252176206805,0.4079885877318118,0.2105263157894736,0.0506612410986775,0
KEN,0.242827002815289,0.0036849665854724,2007,0.1043577981651376,0.1715906093379056,0.3994293865905849,0.2105263157894736,0.0480162767039674,0
KEN,0.2186008745366087,0.0036849665854724,2006,0.1066513761467889,0.1672381957267212,0.3865905848787446,0.2105263157894736,0.0477110885045778,0
KEN,0.1943747462579284,0.0036849665854724,2005,0.0963302752293577,0.1704035874439462,0.3723252496433666,0.1578947368421052,0.0463886063072227,0
KEN,0.170148617979248,0.0036849665854724,2004,0.0923165137614678,0.1611711949353733,0.3609129814550642,0.1578947368421052,0.0471007121057985,0
KEN,0.1459224897005677,0.0036849665854724,2003,0.091743119266055,0.1740965444473753,0.3437945791726106,0.1578947368421052,0.04323499491353,0
KEN,0.1216963614218873,0.0036849665854724,2002,0.0963302752293577,0.1834608282774993,0.3281027104136946,0.1578947368421052,0.04323499491353,0
KEN,0.097470233143207,0.0036849665854724,2001,0.0963302752293577,0.1937483513584806,0.3281027104136946,0.1578947368421052,0.0448626653102746,0
KEN,0.0732441048645266,0.0036849665854724,2000,0.0963302752293577,0.2085201793721973,0.3238231098430812,0.1578947368421052,0.0430315361139369,0
KGZ,0.0490179765858463,0.0349967730518601,2019,0.2545871559633028,0.1092060142442627,0.6262482168330955,0.1578947368421052,0.0465920651068158,0
KGZ,0.0490179765858463,0.0349967730518601,2018,0.2545871559633028,0.1176470588235294,0.6248216833095577,0.2105263157894736,0.0491353001017294,0
KGZ,0.0490179765858463,0.0349967730518601,2017,0.279243119266055,0.1217356897916117,0.6205420827389443,0.2631578947368421,0.0423194303153611,0
KGZ,0.0490179765858463,0.0349967730518601,2016,0.297591743119266,0.1263518860458982,0.6162624821683309,0.2631578947368421,0.0451678535096643,0
KGZ,0.0490179765858463,0.0349967730518601,2015,0.3222477064220183,0.1433658665259826,0.6119828815977175,0.3157894736842105,0.0593082400813835,0
KGZ,0.0490179765858463,0.0349967730518601,2014,0.3360091743119266,0.1514112371405961,0.6077032810271042,0.3157894736842105,0.0599186164801627,0
KGZ,0.0490179765858463,0.0349967730518601,2013,0.3474770642201834,0.1506198892112899,0.5991440798858774,0.3684210526315789,0.062970498474059,0
KGZ,0.0490179765858463,0.0349967730518601,2012,0.3434633027522936,0.157214455288842,0.5891583452211128,0.4210526315789473,0.0930824008138352,0
KGZ,0.0490179765858463,0.0349967730518601,2011,0.3428899082568807,0.1615668689000264,0.5763195435092725,0.3157894736842105,0.0942014242115971,0
KGZ,0.0490179765858463,0.0349967730518601,2010,0.3342889908256881,0.163413347401741,0.5720399429386591,0.3157894736842105,0.1116988809766022,0
KGZ,0.0490179765858463,0.0349967730518601,2009,0.3377293577981651,0.1690846742284358,0.5720399429386591,0.3157894736842105,0.0821973550356053,0
KGZ,0.0490179765858463,0.0349967730518601,2008,0.341743119266055,0.1742284357689264,0.5663338088445079,0.3157894736842105,0.0852492370295015,0
KGZ,0.0490179765858463,0.0349967730518601,2007,0.3555045871559633,0.1813505671326827,0.5592011412268189,0.3157894736842105,0.0852492370295015,0
KGZ,0.0490179765858463,0.0349967730518601,2006,0.3566513761467889,0.1896597203903983,0.5506419400855921,0.3684210526315789,0.0858596134282807,0
KGZ,0.0490179765858463,0.0349967730518601,2005,0.3543577981651375,0.191901872856766,0.5420827389443652,0.3157894736842105,0.0859613428280773,0
KGZ,0.0490179765858463,0.0349967730518601,2004,0.3491972477064219,0.1874175679240306,0.5392296718972897,0.2631578947368421,0.0865717192268565,0
KGZ,0.0490179765858463,0.0349967730518601,2003,0.3428899082568807,0.1999472434713796,0.5349500713266762,0.2631578947368421,0.0867751780264496,0
KGZ,0.0490179765858463,0.0349967730518601,2002,0.3274082568807339,0.2135320495911369,0.5235378031383737,0.2105263157894736,0.0848423194303153,0
KGZ,0.0490179765858463,0.0349967730518601,2001,0.2861238532110092,0.2163017673437088,0.522111269614836,0.1578947368421052,0.0798575788402848,0
KGZ,0.0490179765858463,0.0349967730518601,2000,0.2861238532110092,0.2321287259298338,0.5092724679029957,0.1578947368421052,0.0898270600203458,0
KHM,0.0018435817398885,0.0079112276976245,2019,0.2580275229357798,0.072408335531522,0.4793152639087018,0.3157894736842105,0.0213631739572736,0
KHM,0.0018435817398885,0.0079112276976245,2018,0.2580275229357798,0.0737272487470324,0.4679029957203994,0.2631578947368421,0.0221770091556459,0
