SpatialDimValueCode,Period,FactValueNumeric
BLZ,2016,6.43
USA,2016,8.86
CAN,2016,8.1
ARG,2016,8.2
GRD,2016,8.2
NLD,2016,8.29
FIN,2016,8.44
NIU,2016,8.44
MLT,2016,8.57
KNA,2016,8.56
NZL,2016,8.92
MNE,2016,9.13
MNG,2016,7.92
DNK,2016,9.33
BHS,2016,9.4
LCA,2016,9.4
CHE,2016,9.35
GBR,2016,9.65
AUS,2016,9.65
BEL,2016,9.69
ROU,2016,9.72
BLR,2016,9.77
KOR,2016,8.03
CYP,2016,7.93
BWA,2016,6.55
GNQ,2016,7.13
JPN,2016,6.51
BRA,2016,6.59
DMA,2016,6.57
CHL,2016,6.66
SWZ,2016,6.77
GRC,2016,6.84
MUS,2016,6.83
GEO,2016,6.99
BFA,2016,7.1
SWE,2016,7.11
RUS,2016,7.67
THA,2016,7.09
ITA,2016,7.21
LAO,2016,7.21
UGA,2016,7.3
SRB,2016,7.31
ZAF,2016,7.38
GAB,2016,7.47
ISL,2016,7.63
VCT,2016,7.63
LBR,2016,2.87
IND,2016,2.92
ZWE,2016,2.71
MDG,2016,0.7
GIN,2016,0.35
KIR,2016,0.39
MAR,2016,0.39
TLS,2016,0.36
OMN,2016,0.45
DZA,2016,0.56
TCD,2016,0.62
MYS,2016,0.61
BRN,2016,0.66
NPL,2016,0.78
SEN,2016,0.29
ERI,2016,0.92
RWA,2016,0.95
SLB,2016,0.85
TJK,2016,0.9
QAT,2016,1.01
TUV,2016,1.11
COD,2016,1.17
LBN,2016,1.21
MDV,2016,1.19
TON,2016,0.32
JOR,2016,0.32
TGO,2016,1.18
YEM,2016,0.02
FJI,2016,2.65
AFG,2016,0.011
BGD,2016,0.004
KWT,2016,0.0
LBY,2016,0.009
MRT,2016,0.0
SAU,2016,0.0
SOM,2016,0.0
SDN,2016,0.001
BTN,2016,0.059
DJI,2016,0.33
IDN,2016,0.078
IRN,2016,0.13
NER,2016,0.12
PAK,2016,0.056
COM,2016,0.16
EGY,2016,0.16
IRQ,2016,0.16
SLE,2016,0.19
SYR,2016,0.18
PNG,2016,1.23
AZE,2016,0.41
GMB,2016,1.27
DEU,2016,11.04
BGR,2016,11.08
IRL,2016,11.08
AND,2016,11.22
LUX,2016,11.4
AUT,2016,11.63
LVA,2016,11.57
FRA,2016,11.77
LTU,2016,12.25
COK,2016,12.6
CZE,2016,12.8
SYC,2016,14.17
EST,2016,15.14
ARE,2016,2.15
KEN,2016,2.29
NRU,2016,2.44
ISR,2016,2.5
LSO,2016,2.48
HND,2016,2.57
LKA,2016,2.63
UZB,2016,2.59
TUR,2016,1.28
HUN,2016,11.0
SLV,2016,2.67
ESP,2016,10.67
CIV,2016,1.81
CAF,2016,1.46
ETH,2016,1.47
VUT,2016,1.53
BHR,2016,1.63
GTM,2016,1.62
FSM,2016,1.58
MMR,2016,1.6
TUN,2016,1.61
MWI,2016,1.72
MOZ,2016,1.36
WSM,2016,1.8
GHA,2016,1.95
SVK,2016,9.95
ATG,2016,10.13
HRV,2016,10.25
PRT,2016,10.32
POL,2016,10.48
SVN,2016,10.71
SGP,2016,1.82
STP,2015,5.04
SUR,2015,5.29
PRY,2015,5.09
NAM,2015,5.11
BEN,2015,4.92
CPV,2015,5.01
COG,2015,4.9
BIH,2015,4.89
GUY,2015,5.55
DOM,2015,5.37
TTO,2015,5.86
KGZ,2015,5.62
PER,2015,5.73
URY,2015,5.72
VEN,2015,5.65
NOR,2015,6.02
PAN,2015,6.24
MDA,2015,6.16
TZA,2015,6.23
BWA,2015,6.3
CUB,2015,4.59
PHL,2015,4.68
PRK,2015,3.51
CMR,2015,4.43
JAM,2015,3.25
IND,2015,2.98
BOL,2015,3.14
BDI,2015,3.14
GNB,2015,3.15
NGA,2015,3.08
TKM,2015,3.13
VNM,2015,3.08
ZMB,2015,3.13
CRI,2015,3.22
KHM,2015,3.42
COL,2015,4.27
UKR,2015,6.5
ECU,2015,3.55
KAZ,2015,3.52
MLI,2015,3.74
NIC,2015,3.67
MKD,2015,3.72
ARM,2015,4.05
MEX,2015,4.2
ALB,2015,4.29
CHN,2015,6.32
LBR,2015,2.82
BLZ,2015,6.64
MNG,2015,8.95
ARG,2015,8.16
NIU,2015,8.21
NLD,2015,8.33
RUS,2015,8.33
MNE,2015,8.49
KNA,2015,8.48
FIN,2015,8.56
USA,2015,8.82
NZL,2015,8.89
LCA,2015,9.24
MLT,2015,8.07
BHS,2015,9.38
DNK,2015,9.42
ROU,2015,9.5
CHE,2015,9.51
GBR,2015,9.52
ATG,2015,9.64
ESP,2015,9.61
