SpatialDimValueCode,Period,FactValueNumeric
TGO,2019,14.81
FIN,2019,13.43
GNQ,2019,13.51
NAM,2019,13.51
BEL,2019,13.93
SVN,2019,13.97
BFA,2019,14.38
ZMB,2019,14.43
USA,2019,14.51
WSM,2019,14.6
JPN,2019,12.24
BDI,2019,12.12
EST,2019,11.96
DJI,2019,11.95
EGY,2019,3.41
VCT,2019,1.01
NER,2019,10.15
CUB,2019,10.19
CAN,2019,10.34
NZL,2019,10.3
UGA,2019,10.45
AUT,2019,10.4
GHA,2019,10.54
MWI,2019,10.58
SEN,2019,10.99
KEN,2019,11.01
HRV,2019,11.01
HTI,2019,11.17
ISL,2019,11.15
SLE,2019,11.25
AUS,2019,11.25
COG,2019,11.62
HUN,2019,11.77
SOM,2019,14.66
GRD,2019,0.64
CPV,2019,15.23
DZA,2019,2.6
PER,2019,2.73
ARM,2019,2.66
KWT,2019,2.66
LBN,2019,2.76
MDV,2019,2.76
PAN,2019,2.86
BWA,2019,20.22
LTU,2019,20.15
KOR,2019,21.16
RUS,2019,21.6
CAF,2019,22.96
MOZ,2019,23.19
ZAF,2019,23.49
ZWE,2019,23.63
SUR,2019,25.89
FSM,2019,28.99
MMR,2019,2.96
TUN,2019,3.18
CYP,2019,3.18
IDN,2019,2.55
VUT,2019,20.96
HND,2019,2.58
KAZ,2019,18.05
PHL,2019,2.54
CIV,2019,15.66
CMR,2019,15.92
LVA,2019,16.06
MNE,2019,16.22
BLR,2019,16.49
SLB,2019,17.37
UKR,2019,17.73
MNG,2019,18.02
ERI,2019,17.26
URY,2019,18.83
VEN,2019,2.1
TUR,2019,2.34
JAM,2019,2.28
STP,2019,2.2
BRN,2019,2.54
SYR,2019,2.11
JOR,2019,1.98
LBY,2018,5.7
ISR,2018,5.26
MRT,2018,5.42
ESP,2018,5.38
MEX,2018,5.36
DOM,2018,5.49
IRN,2018,5.49
KHM,2018,5.59
SAU,2018,5.57
MYS,2018,5.58
CRI,2018,6.79
AFG,2018,5.91
PRY,2018,6.1
SLV,2018,6.07
TKM,2018,6.09
LAO,2018,6.18
GTM,2018,6.31
BRA,2018,6.51
BGR,2018,6.6
SSD,2018,6.65
TJK,2018,5.29
MLT,2018,5.28
BHS,2018,3.4
BTN,2018,5.11
NIC,2018,5.04
BOL,2018,6.97
PNG,2018,3.51
CYP,2018,3.64
GRC,2018,3.65
BGD,2018,3.75
ALB,2018,3.94
AZE,2018,3.92
COL,2018,3.87
KIR,2018,30.27
OMN,2018,4.37
ITA,2018,4.42
TLS,2018,4.46
TON,2018,4.57
QAT,2018,4.61
SDN,2018,4.81
IRQ,2018,4.88
SWZ,2018,40.13
GUY,2018,40.41
ARE,2018,5.01
CHN,2018,6.81
CHL,2018,7.96
NGA,2018,6.95
BIH,2018,8.18
DNK,2018,8.18
COM,2018,8.48
TTO,2018,8.5
DEU,2018,8.46
UZB,2018,8.73
KGZ,2018,8.92
ARG,2018,8.99
NLD,2018,9.09
MDG,2018,9.24
IRL,2018,9.17
SVK,2018,9.43
RWA,2018,9.52
ETH,2018,9.54
GMB,2018,9.62
NPL,2018,9.69
FJI,2018,9.72
PAK,2018,9.79
CHE,2018,9.88
LSO,2018,93.07
MUS,2018,8.19
PRK,2018,8.19
BHR,2018,7.04
ECU,2018,8.12
YEM,2018,7.09
LCA,2018,7.06
GBR,2018,7.08
MKD,2018,7.22
BLZ,2018,7.16
MAR,2018,7.3
LBR,2018,7.42
VNM,2018,7.37
PRT,2018,7.5
ROU,2018,7.71
SGP,2018,7.76
THA,2018,7.9
SYC,2018,7.87
GEO,2018,7.85
SRB,2018,7.86
MLI,2018,7.98
TZA,2018,8.04
LUX,2018,8.03
TUN,2018,3.09
EGY,2018,3.37
GNQ,2018,14.06
BRN,2018,3.04
AGO,2018,12.35
AUS,2018,11.26
HTI,2018,11.37
COG,2018,11.63
EST,2018,11.56
MDA,2018,11.88
DJI,2018,12.17
GIN,2018,12.24
BDI,2018,12.31
COD,2018,12.39
HUN,2018,12.58
USA,2018,14.09
SWE,2018,12.69
SVN,2018,12.79
GNB,2018,12.9
IND,2018,12.88
BEN,2018,12.97
LKA,2018,13.24
JPN,2018,13.37
GAB,2018,13.56
TCD,2018,13.57
AUT,2018,11.19
SEN,2018,11.16
SLE,2018,11.2
HRV,2018,11.1
MMR,2018,2.96
ATG,2018,0.32
GRD,2018,0.35
VCT,2018,1.03
ARM,2018,1.65
JOR,2018,1.94
FRA,2018,10.05
NER,2018,10.13
ISL,2018,10.12
NOR,2018,10.13
CUB,2018,10.17
UGA,2018,10.25
POL,2018,10.4
CAN,2018,10.5
NZL,2018,10.66
GHA,2018,10.79
CZE,2018,10.83
MWI,2018,11.04
KEN,2018,11.03
NAM,2018,13.74
BRB,2018,0.31
FSM,2018,29.07
JAM,2018,2.21
TUR,2018,2.25
LBN,2018,2.53
DZA,2018,2.58
HND,2018,2.6
IDN,2018,2.56
KWT,2018,2.56
PHL,2018,2.58
PER,2018,2.74
PAN,2018,2.92
VUT,2018,21.09
LTU,2018,21.08
KOR,2018,21.27
BWA,2018,22.06
MOZ,2018,23.19
RUS,2018,23.4
CAF,2018,23.65
ZWE,2018,23.87
ZAF,2018,24.39
SUR,2018,26.23
VEN,2018,2.21
MDV,2018,2.92
STP,2018,2.17
ZMB,2018,15.9
SYR,2018,2.1
BEL,2018,14.32
FIN,2018,14.41
BFA,2018,14.68
SOM,2018,14.81
WSM,2018,14.8
TGO,2018,14.88
CMR,2018,15.93
CIV,2018,15.93
LVA,2018,14.29
CPV,2018,15.96
UKR,2018,17.99
MNE,2018,16.45
URY,2018,18.85
MNG,2018,18.67
KAZ,2018,19.41
BLR,2018,17.94
ERI,2018,17.84
SLB,2018,17.74
MYS,2017,5.57
SWZ,2017,42.91
ISR,2017,4.96
BTN,2017,5.14
IRQ,2017,5.17
TJK,2017,5.29
ITA,2017,4.84
MRT,2017,5.38
LBY,2017,5.48
KHM,2017,5.64
ESP,2017,5.77
SAU,2017,5.74
CRI,2017,5.79
IRN,2017,5.8
MEX,2017,5.89
AFG,2017,5.95
DOM,2017,6.02
GTM,2017,6.01
PRY,2017,6.13
MLT,2017,4.83
LAO,2017,6.2
LBN,2017,2.99
TON,2017,4.78
GRC,2017,3.79
TKM,2017,6.23
MDV,2017,3.11
PAN,2017,3.21
CYP,2017,3.28
BRN,2017,3.25
BHS,2017,3.28
EGY,2017,3.39
PNG,2017,3.5
BGD,2017,3.68
AZE,2017,3.91
ARE,2017,4.78
KIR,2017,31.51
GUY,2017,39.86
ALB,2017,4.11
TLS,2017,4.4
OMN,2017,4.53
COL,2017,4.5
QAT,2017,4.61
NIC,2017,4.73
SDN,2017,4.8
SLV,2017,6.16
GEO,2017,8.07
SSD,2017,6.41
DNK,2017,8.28
CHL,2017,8.39
COM,2017,8.58
PRK,2017,8.65
ARG,2017,8.69
UZB,2017,8.92
TTO,2017,8.96
KGZ,2017,9.23
ECU,2017,9.26
MDG,2017,9.33
IRL,2017,9.33
NPL,2017,9.63
RWA,2017,9.62
SVK,2017,9.55
ETH,2017,9.63
MUS,2017,9.59
NLD,2017,9.61
GMB,2017,9.83
FJI,2017,9.91
LSO,2017,96.29
DEU,2017,8.34
TZA,2017,8.15
BHR,2017,6.73
BIH,2017,8.07
BGR,2017,6.65
YEM,2017,6.86
CHN,2017,6.89
NGA,2017,7.06
LCA,2017,7.06
BOL,2017,7.17
MKD,2017,7.23
GBR,2017,7.24
MAR,2017,7.27
SGP,2017,7.25
VNM,2017,7.5
THA,2017,7.49
LUX,2017,7.53
LBR,2017,7.56
BLZ,2017,7.71
ROU,2017,7.83
SYC,2017,7.93
PRT,2017,7.86
MLI,2017,8.04
MMR,2017,3.1
BRA,2017,6.19
TUN,2017,3.01
GIN,2017,12.47
CAN,2017,11.68
AUS,2017,11.79
COG,2017,11.89
COD,2017,12.04
NZL,2017,12.14
DJI,2017,12.32
MDA,2017,12.44
AGO,2017,12.36
SWE,2017,12.5
BDI,2017,12.46
FIN,2017,14.4
IND,2017,12.48
HUN,2017,12.62
GNB,2017,13.09
BEN,2017,13.11
GNQ,2017,13.16
JPN,2017,13.51
LKA,2017,13.67
TCD,2017,13.77
GAB,2017,13.85
ISL,2017,11.66
MWI,2017,11.67
SEN,2017,11.37
HTI,2017,11.45
VCT,2017,0.0
BRB,2017,0.32
SRB,2017,0.33
GRD,2017,0.67
JOR,2017,1.87
PAK,2017,9.98
NER,2017,10.15
UGA,2017,10.34
CHE,2017,10.37
FRA,2017,10.4
NOR,2017,10.38
CUB,2017,10.53
KEN,2017,10.6
AUT,2017,10.77
SLE,2017,10.94
HRV,2017,10.87
POL,2017,11.06
CZE,2017,11.2
GHA,2017,11.31
SVN,2017,14.29
FSM,2017,28.68
ATG,2017,0.0
SYR,2017,1.98
JAM,2017,2.19
VEN,2017,2.24
TUR,2017,2.26
ARM,2017,2.43
DZA,2017,2.54
KWT,2017,2.5
IDN,2017,2.58
PHL,2017,2.63
PER,2017,2.74
VUT,2017,21.09
KAZ,2017,21.19
BWA,2017,22.32
MOZ,2017,23.09
LTU,2017,23.49
RUS,2017,24.41
SUR,2017,25.37
CAF,2017,25.73
ZAF,2017,25.84
ZWE,2017,25.85
STP,2017,2.19
HND,2017,2.71
KOR,2017,19.31
CPV,2017,16.16
MNG,2017,19.11
BEL,2017,14.59
WSM,2017,14.75
BFA,2017,14.85
SOM,2017,14.87
EST,2017,15.17
NAM,2017,15.22
TGO,2017,15.4
CMR,2017,16.15
USA,2017,14.41
MNE,2017,16.27
SLB,2017,17.81
CIV,2017,16.37
BLR,2017,18.46
ERI,2017,18.0
URY,2017,18.54
LVA,2017,17.14
UKR,2017,16.94
ZMB,2017,16.67
MEX,2016,5.57
BTN,2016,5.05
MLT,2016,5.12
IRQ,2016,5.33
MRT,2016,5.36
TJK,2016,5.38
ISR,2016,5.03
MYS,2016,5.37
ESP,2016,5.54
PRY,2016,5.64
SAU,2016,5.9
BRA,2016,5.67
KHM,2016,5.75
SLV,2016,5.77
IRN,2016,5.92
AFG,2016,6.01
LAO,2016,6.18
GTM,2016,6.21
SSD,2016,6.48
LBY,2016,4.95
BHR,2016,6.48
PAN,2016,3.35
ARE,2016,4.97
COL,2016,4.11
BGR,2016,6.57
GRC,2016,3.42
BHS,2016,3.49
EGY,2016,3.63
PNG,2016,3.64
BGD,2016,3.6
AZE,2016,3.92
KIR,2016,31.38
GUY,2016,39.65
ALB,2016,4.17
SWZ,2016,46.24
CYP,2016,4.15
ARM,2016,4.43
ITA,2016,4.35
TLS,2016,4.45
OMN,2016,4.52
NIC,2016,4.59
SDN,2016,4.84
TON,2016,4.77
QAT,2016,4.83
TKM,2016,6.59
ARG,2016,8.06
LCA,2016,6.65
TZA,2016,8.32
DEU,2016,8.82
GEO,2016,9.03
ECU,2016,9.06
PRK,2016,9.24
TTO,2016,9.23
UZB,2016,9.21
CHL,2016,9.18
NLD,2016,9.33
IRL,2016,9.37
MDG,2016,9.47
KGZ,2016,9.58
NPL,2016,9.68
RWA,2016,9.73
SVK,2016,9.66
CUB,2016,9.73
ETH,2016,9.78
CHE,2016,9.76
GMB,2016,9.94
MDV,2016,3.15
COM,2016,8.72
MLI,2016,8.29
BLZ,2016,6.67
DNK,2016,8.24
DOM,2016,6.77
YEM,2016,6.98
CHN,2016,6.99
NGA,2016,7.22
MKD,2016,7.27
CRI,2016,7.29
SGP,2016,7.3
MAR,2016,7.41
BOL,2016,7.43
PRT,2016,7.38
LBR,2016,7.62
VNM,2016,7.58
SYC,2016,7.64
THA,2016,7.59
LUX,2016,7.55
MUS,2016,7.58
GBR,2016,7.62
ROU,2016,7.76
BIH,2016,8.13
MMR,2016,3.33
TUN,2016,2.98
BRB,2016,0.33
BDI,2016,12.61
HTI,2016,11.64
GHA,2016,11.74
DJI,2016,12.08
COD,2016,12.09
SWE,2016,12.15
MWI,2016,12.25
COG,2016,12.29
ISL,2016,12.26
EST,2016,12.49
IND,2016,12.6
LKA,2016,14.17
GIN,2016,12.79
AGO,2016,12.87
GNB,2016,13.15
FIN,2016,13.26
HUN,2016,13.34
BEN,2016,13.27
MDA,2016,13.42
USA,2016,13.65
JPN,2016,13.75
HRV,2016,11.48
SEN,2016,11.53
POL,2016,11.37
AUT,2016,11.13
ZWE,2016,28.7
ATG,2016,0.49
VCT,2016,0.67
GRD,2016,0.91
SYR,2016,1.83
JOR,2016,1.86
PAK,2016,10.02
FJI,2016,10.03
NER,2016,10.22
CZE,2016,10.34
CAN,2016,10.37
KEN,2016,10.45
SRB,2016,10.58
FRA,2016,10.7
SLE,2016,10.83
AUS,2016,10.92
LSO,2016,107.1
NOR,2016,11.08
UGA,2016,11.06
TCD,2016,13.68
NZL,2016,11.52
SVN,2016,14.29
KOR,2016,20.49
TUR,2016,2.26
BRN,2016,2.38
KWT,2016,2.45
DZA,2016,2.61
IDN,2016,2.58
HND,2016,2.66
PER,2016,2.66
PHL,2016,2.67
LBN,2016,2.78
VUT,2016,21.0
JAM,2016,2.18
KAZ,2016,22.01
BWA,2016,22.9
MOZ,2016,23.4
CAF,2016,25.25
ZAF,2016,25.31
SUR,2016,25.47
LTU,2016,26.21
RUS,2016,26.89
GAB,2016,14.55
VEN,2016,2.29
FSM,2016,28.18
STP,2016,2.16
CMR,2016,16.62
SOM,2016,14.83
NAM,2016,14.92
BEL,2016,15.02
GNQ,2016,14.97
WSM,2016,15.03
TGO,2016,15.97
MNE,2016,16.08
CPV,2016,16.53
BFA,2016,15.16
ZMB,2016,16.71
ERI,2016,18.3
CIV,2016,17.0
BLR,2016,19.4
URY,2016,18.7
MNG,2016,19.82
SLB,2016,17.83
UKR,2016,17.56
LVA,2016,17.15
IRQ,2015,5.4
SDN,2015,4.89
QAT,2015,4.85
SWZ,2015,49.19
BTN,2015,5.16
TJK,2015,5.19
MYS,2015,5.22
MRT,2015,5.33
ARE,2015,5.25
TON,2015,5.3
LAO,2015,6.2
LBY,2015,5.48
ESP,2015,5.64
BRA,2015,5.6
MEX,2015,5.6
KHM,2015,5.75
PRY,2015,5.85
AFG,2015,5.99
SAU,2015,5.95
IRN,2015,5.96
ARM,2015,4.7
ITA,2015,4.83
GUY,2015,39.3
OMN,2015,4.7
HND,2015,4.57
MDV,2015,2.95
PAN,2015,2.95
MMR,2015,3.34
VCT,2015,3.31
BHS,2015,3.42
BGD,2015,3.64
EGY,2015,3.72
PNG,2015,3.65
GRC,2015,3.78
ZWE,2015,30.74
KIR,2015,31.59
SSD,2015,6.41
AZE,2015,3.99
COL,2015,4.04
ALB,2015,4.23
CYP,2015,4.17
TLS,2015,4.38
NIC,2015,4.47
ISR,2015,4.45
BHR,2015,6.32
LTU,2015,28.93
GTM,2015,6.4
ARG,2015,8.1
BIH,2015,8.33
PRT,2015,8.31
MLI,2015,8.46
IRL,2015,8.71
COM,2015,8.8
GEO,2015,8.79
ECU,2015,8.88
DEU,2015,9.0
ROU,2015,9.06
UZB,2015,9.2
CHL,2015,9.17
NLD,2015,9.31
PRK,2015,9.47
MDG,2015,9.53
TTO,2015,9.54
LUX,2015,9.57
NPL,2015,9.83
SVK,2015,9.8
RWA,2015,9.89
TZA,2015,8.23
DNK,2015,8.07
CRI,2015,6.41
LCA,2015,7.89
MLT,2015,6.55
TKM,2015,6.62
YEM,2015,6.8
DOM,2015,6.84
SLV,2015,6.78
BGR,2015,6.77
BLZ,2015,6.87
CHN,2015,7.08
BOL,2015,7.2
THA,2015,7.15
NGA,2015,7.31
MKD,2015,7.28
MUS,2015,7.51
MAR,2015,7.63
VNM,2015,7.61
SGP,2015,7.56
LBR,2015,7.71
SYC,2015,7.65
GBR,2015,7.81
TUN,2015,3.03
BRB,2015,0.31
FSM,2015,28.37
MWI,2015,12.59
SEN,2015,11.81
DJI,2015,11.89
LSO,2015,114.5
HTI,2015,11.97
GHA,2015,12.02
FIN,2015,12.15
HRV,2015,12.15
COD,2015,12.27
COG,2015,12.46
BDI,2015,12.75
MDA,2015,13.68
USA,2015,12.86
IND,2015,12.92
SWE,2015,13.02
GIN,2015,12.99
GNB,2015,13.08
ISL,2015,13.17
POL,2015,13.15
AGO,2015,13.27
EST,2015,13.36
SRB,2015,11.69
FRA,2015,11.48
AUT,2015,11.39
CAN,2015,11.16
RUS,2015,27.87
ATG,2015,0.42
GRD,2015,0.62
BRN,2015,1.63
JOR,2015,1.85
PAK,2015,9.96
FJI,2015,10.01
ETH,2015,9.98
GMB,2015,10.29
NER,2015,10.39
CUB,2015,10.36
SLE,2015,10.53
CHE,2015,10.5
CZE,2015,10.49
KEN,2015,10.64
NOR,2015,10.59
KGZ,2015,10.87
UGA,2015,11.04
NZL,2015,11.13
BEN,2015,13.38
AUS,2015,11.81
TCD,2015,13.97
PHL,2015,2.71
MNG,2015,19.68
SYR,2015,1.95
STP,2015,2.18
JAM,2015,2.17
TUR,2015,2.26
VEN,2015,2.37
KWT,2015,2.4
IDN,2015,2.57
DZA,2015,2.72
PER,2015,2.77
ERI,2015,18.69
LBN,2015,2.87
VUT,2015,21.18
KOR,2015,21.2
KAZ,2015,23.42
MOZ,2015,23.97
BWA,2015,24.55
ZAF,2015,25.55
SUR,2015,25.91
BEL,2015,14.41
BLR,2015,19.55
CAF,2015,26.31
SLB,2015,17.94
MNE,2015,16.35
HUN,2015,14.6
LKA,2015,14.7
SVN,2015,14.75
JPN,2015,14.89
WSM,2015,14.94
GAB,2015,15.17
GNQ,2015,15.33
BFA,2015,15.44
SOM,2015,15.03
NAM,2015,16.29
LVA,2015,17.14
CPV,2015,16.73
CIV,2015,17.71
ZMB,2015,17.26
UKR,2015,17.87
CMR,2015,17.09
TGO,2015,16.69
URY,2015,16.66
MRT,2014,5.4
CYP,2014,4.77
SDN,2014,4.99
QAT,2014,5.02
NIC,2014,4.95
ISR,2014,5.03
ITA,2014,5.03
TJK,2014,5.11
MYS,2014,5.1
BTN,2014,5.19
PRY,2014,5.95
TON,2014,5.35
CRI,2014,5.35
BRA,2014,5.4
IRQ,2014,5.49
ARE,2014,5.6
MEX,2014,5.72
KHM,2014,5.8
SWZ,2014,54.63
AFG,2014,6.02
ARM,2014,4.63
OMN,2014,4.68
COL,2014,3.69
ALB,2014,4.52
PAN,2014,4.15
FSM,2014,27.41
CAF,2014,27.59
LTU,2014,29.44
RUS,2014,29.37
PER,2014,2.98
TUN,2014,3.1
BHS,2014,3.28
MMR,2014,3.41
PNG,2014,3.62
EGY,2014,3.69
BGD,2014,3.73
LBY,2014,6.06
ZWE,2014,30.83
KIR,2014,31.62
GUY,2014,39.52
GRC,2014,4.04
HND,2014,4.07
AZE,2014,4.1
TLS,2014,4.24
SLV,2014,5.96
ZAF,2014,25.28
IRN,2014,6.06
LCA,2014,8.23
TZA,2014,8.25
LBR,2014,8.46
GEO,2014,8.58
MLI,2014,8.65
COM,2014,8.87
ECU,2014,8.9
UZB,2014,9.03
ROU,2014,8.97
PRK,2014,9.13
DNK,2014,9.09
CHL,2014,9.13
ARG,2014,9.16
PRT,2014,9.23
DEU,2014,9.19
NLD,2014,9.28
MDG,2014,9.79
TTO,2014,9.83
NPL,2014,9.93
MUS,2014,9.85
SGP,2014,8.22
BIH,2014,8.2
LAO,2014,6.17
MAR,2014,7.9
SSD,2014,6.22
ESP,2014,6.21
SAU,2014,6.3
MLT,2014,6.33
BHR,2014,6.37
GTM,2014,6.41
DOM,2014,6.59
THA,2014,6.87
BLZ,2014,6.89
YEM,2014,7.03
BOL,2014,7.04
TKM,2014,7.11
BGR,2014,7.13
MKD,2014,7.43
CHN,2014,7.35
SYC,2014,7.52
VNM,2014,7.64
NGA,2014,7.59
GBR,2014,7.64
SUR,2014,25.94
BEN,2014,13.65
BWA,2014,25.35
SWE,2014,12.28
FRA,2014,11.45
KGZ,2014,11.48
CZE,2014,11.7
LSO,2014,116.2
AUT,2014,12.04
HTI,2014,12.0
SEN,2014,11.97
SRB,2014,12.02
DJI,2014,12.19
HRV,2014,12.4
BRB,2014,0.32
USA,2014,12.4
GHA,2014,12.4
COD,2014,12.57
LKA,2014,12.72
MWI,2014,12.77
GIN,2014,12.97
BDI,2014,13.14
AGO,2014,13.14
IND,2014,13.49
UGA,2014,11.4
AUS,2014,11.31
KEN,2014,11.08
SLE,2014,10.95
ATG,2014,0.44
GRD,2014,0.45
VCT,2014,1.37
BRN,2014,1.7
JOR,2014,1.86
PAK,2014,9.96
SVK,2014,10.02
ETH,2014,10.02
CHE,2014,10.01
RWA,2014,10.07
LUX,2014,10.06
NOR,2014,10.06
CUB,2014,10.23
FJI,2014,10.27
IRL,2014,10.5
GMB,2014,10.58
NZL,2014,10.59
NER,2014,10.65
CAN,2014,10.86
COG,2014,13.53
MOZ,2014,24.68
FIN,2014,13.65
ZMB,2014,17.74
SLB,2014,18.1
CIV,2014,18.55
ERI,2014,18.87
MNG,2014,19.6
SYR,2014,2.06
STP,2014,2.24
JAM,2014,2.18
VEN,2014,2.26
KWT,2014,2.38
IDN,2014,2.62
PHL,2014,2.69
DZA,2014,2.78
LBN,2014,2.84
MDV,2014,2.88
UKR,2014,20.39
VUT,2014,21.14
BLR,2014,21.59
KOR,2014,22.42
KAZ,2014,24.23
CMR,2014,17.94
TUR,2014,2.3
TGO,2014,17.41
BEL,2014,15.13
LVA,2014,17.18
GNQ,2014,14.22
ISL,2014,14.37
SVN,2014,14.36
MDA,2014,14.47
POL,2014,14.5
TCD,2014,14.6
WSM,2014,14.92
HUN,2014,14.96
GNB,2014,14.13
SOM,2014,15.16
JPN,2014,15.78
NAM,2014,15.32
MNE,2014,16.35
EST,2014,16.16
CPV,2014,16.91
URY,2014,15.77
BFA,2014,15.66
GAB,2014,15.39
ARM,2013,5.31
TJK,2013,5.04
SDN,2013,5.11
PRY,2013,5.07
CYP,2013,5.1
ISR,2013,5.06
GUY,2013,40.71
BTN,2013,5.2
TON,2013,5.27
QAT,2013,5.3
BRA,2013,5.41
MEX,2013,5.28
ITA,2013,5.27
MRT,2013,5.43
IRQ,2013,5.7
ARE,2013,5.91
NIC,2013,5.87
MLT,2013,5.9
KHM,2013,5.96
MYS,2013,4.9
DOM,2013,6.06
RUS,2013,29.13
OMN,2013,4.79
VCT,2013,3.74
AFG,2013,6.17
LBN,2013,3.01
TUN,2013,3.17
PER,2013,3.19
BHS,2013,3.17
PNG,2013,3.43
MMR,2013,3.46
PAN,2013,3.54
COL,2013,3.62
EGY,2013,3.77
LBY,2013,4.78
BGD,2013,3.8
HND,2013,3.9
ZWE,2013,31.4
KIR,2013,32.34
LTU,2013,33.97
GRC,2013,3.96
TLS,2013,4.23
AZE,2013,4.19
ALB,2013,4.84
IRN,2013,6.1
NGA,2013,8.01
BHR,2013,6.15
MAR,2013,8.24
GEO,2013,8.17
COM,2013,8.51
LBR,2013,8.5
ARG,2013,8.45
SGP,2013,8.49
TZA,2013,8.64
MLI,2013,8.75
LUX,2013,8.83
UZB,2013,8.92
DNK,2013,8.98
PRK,2013,9.12
CHL,2013,9.15
DEU,2013,9.22
NLD,2013,9.47
ECU,2013,9.68
MDG,2013,9.79
SVK,2013,9.92
ROU,2013,9.86
FSM,2013,27.4
BIH,2013,8.23
MKD,2013,8.05
ESP,2013,6.16
PRT,2013,7.98
LAO,2013,6.33
SAU,2013,6.31
CRI,2013,6.42
SSD,2013,6.47
THA,2013,6.59
SLV,2013,6.72
GTM,2013,6.67
BLZ,2013,6.83
BOL,2013,6.87
SWZ,2013,62.02
YEM,2013,7.11
SYC,2013,7.3
TKM,2013,7.42
BGR,2013,7.35
VNM,2013,7.53
LCA,2013,7.69
CHN,2013,7.65
GBR,2013,7.71
MUS,2013,7.77
BWA,2013,27.75
CAF,2013,26.95
ATG,2013,0.0
CZE,2013,12.77
LSO,2013,111.4
USA,2013,12.04
HTI,2013,12.03
DJI,2013,12.13
SEN,2013,12.12
HRV,2013,12.31
UGA,2013,12.38
ISL,2013,12.45
FRA,2013,12.5
COD,2013,12.77
URY,2013,14.16
GHA,2013,12.79
SRB,2013,13.03
SWE,2013,13.04
MWI,2013,13.04
GIN,2013,13.2
GAB,2013,13.57
GNQ,2013,13.76
BDI,2013,13.75
BEN,2013,13.84
NZL,2013,11.56
AUT,2013,11.45
KGZ,2013,11.42
SLE,2013,11.35
SUR,2013,26.54
BRB,2013,0.097
GRD,2013,1.12
BRN,2013,1.82
JOR,2013,1.89
PAK,2013,9.98
RWA,2013,10.13
TTO,2013,10.14
CAN,2013,10.19
AUS,2013,10.24
NPL,2013,10.26
NOR,2013,10.29
ETH,2013,10.43
FJI,2013,10.51
IRL,2013,10.5
CUB,2013,10.64
NER,2013,10.66
GMB,2013,10.71
CHE,2013,10.7
WSM,2013,14.12
KEN,2013,11.57
AGO,2013,14.16
IDN,2013,2.69
UKR,2013,18.66
ERI,2013,19.24
CIV,2013,19.45
SYR,2013,2.01
JAM,2013,2.01
STP,2013,2.19
TUR,2013,2.27
KWT,2013,2.34
VEN,2013,2.61
MDV,2013,2.8
SLB,2013,18.19
DZA,2013,2.85
PHL,2013,2.88
MNG,2013,20.43
VUT,2013,21.76
BLR,2013,22.82
KOR,2013,23.84
ZAF,2013,25.12
MOZ,2013,26.01
IND,2013,14.45
CMR,2013,18.71
KAZ,2013,26.16
ZMB,2013,17.91
SOM,2013,15.2
MDA,2013,14.4
NAM,2013,14.38
COG,2013,14.49
GNB,2013,14.79
EST,2013,14.9
FIN,2013,15.04
POL,2013,15.06
TCD,2013,15.13
