SpatialDimValueCode,Period,FactValueNumeric_alcohol,FactValueNumeric
KHM,2018,4.5,5.59
KGZ,2018,4.44,8.92
BEN,2018,5.19,12.97
TZA,2018,5.09,8.04
PER,2018,5.66,2.74
GUY,2018,5.16,40.41
URY,2018,5.16,18.85
AGO,2018,5.28,12.35
BIH,2018,5.33,8.18
PRY,2018,5.29,6.1
CPV,2018,5.47,15.96
UKR,2018,5.53,17.99
COG,2018,5.6,11.63
DOM,2018,5.62,5.49
STP,2018,4.17,2.17
SLV,2018,2.92,6.07
PRK,2018,3.37,8.19
COL,2018,4.19,3.87
CRI,2018,3.19,6.79
BLZ,2018,5.93,7.16
NGA,2018,2.95,6.95
TKM,2018,2.86,6.09
BOL,2018,2.98,6.97
ECU,2018,2.98,8.12
FJI,2018,3.05,9.72
HTI,2018,3.03,11.37
IND,2018,2.98,12.88
BDI,2018,3.1,12.31
ZMB,2018,3.25,15.9
ARM,2018,4.08,1.65
GNB,2018,3.29,12.9
VNM,2018,3.42,7.37
JAM,2018,3.48,2.21
LSO,2018,3.48,93.07
MLI,2018,3.53,7.98
NIC,2018,3.73,5.04
KAZ,2018,3.86,19.41
CMR,2018,4.05,15.93
MKD,2018,4.04,7.22
TTO,2018,5.68,8.5
ARG,2018,7.64,8.99
NOR,2018,6.02,10.13
USA,2018,8.93,14.09
ISL,2018,7.66,10.12
KOR,2018,7.76,21.27
CYP,2018,7.93,3.64
CAN,2018,8.08,10.5
FIN,2018,8.32,14.41
NLD,2018,8.29,9.09
GRD,2018,8.46,0.35
MLT,2018,9.04,5.28
VCT,2018,7.61,1.03
NZL,2018,9.12,10.66
BEL,2018,9.22,14.32
DNK,2018,9.23,8.18
CHE,2018,9.25,9.88
AUS,2018,9.5,11.26
BHS,2018,9.46,3.4
GBR,2018,9.84,7.08
MNE,2018,9.87,16.45
LBR,2018,2.84,7.42
SRB,2018,7.62,7.86
ITA,2018,7.59,4.42
GNQ,2018,6.19,14.06
UGA,2018,6.57,10.25
BRA,2018,6.32,6.51
PAN,2018,6.28,2.92
MDA,2018,6.34,11.88
SUR,2018,6.26,26.23
CHL,2018,6.39,7.96
JPN,2018,6.44,13.37
GAB,2018,6.6,13.56
GRC,2018,6.62,3.65
THA,2018,6.68,7.9
GEO,2018,7.64,7.85
MUS,2018,6.98,8.19
SWZ,2018,7.13,40.13
RUS,2018,7.11,23.4
SWE,2018,7.12,12.69
BFA,2018,7.22,14.68
MNG,2018,7.19,18.67
BWA,2018,7.43,22.06
LAO,2018,7.4,6.18
ZAF,2018,7.35,24.39
ZWE,2018,2.78,23.87
TUR,2018,1.27,2.25
HND,2018,2.78,2.6
RWA,2018,1.35,9.52
TON,2018,0.3,4.57
KIR,2018,0.39,30.27
